# Constructed from biom file
# OTU ID	SSU_rRNA	taxonomy	taxid
220291	4.0	sk__Eukaryota;k__Metazoa;p__Annelida;c__Polychaeta;o__Terebellida;f__Ampharetidae	6374
18563	42.0	sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Hexanauplia	72037
229373	6687.0	sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida	6833
142191	1.0	sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Calanoida;f__Pontellidae;g__Labidocera	163236
194671	1.0	sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Cyclopoida	84308
190133	11.0	sk__Eukaryota;k__Metazoa;p__Arthropoda;c__Hexanauplia;o__Harpacticoida	41212
193720	2.0	sk__Eukaryota;k__Metazoa;p__Chordata;c__Ascidiacea;o__Enterogona	183770
150429	1.0	sk__Eukaryota;k__Metazoa;p__Chordata;c__Ascidiacea;o__Enterogona;f__Polyclinidae;g__Aplidium	201956
103486	2.0	sk__Eukaryota;k__Metazoa;p__Chordata;c__Ascidiacea;o__Stolidobranchia;f__Pyuridae	7727
62148	1.0	sk__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa	6101
122077	2.0	sk__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;o__Actiniaria	6103
149622	5.0	sk__Eukaryota;k__Metazoa;p__Cnidaria;c__Myxozoa;o__Bivalvulida	35583
135909	1.0	sk__Eukaryota;k__Metazoa;p__Echinodermata;c__Asteroidea	7588
98448	2.0	sk__Eukaryota;k__Metazoa;p__Echinodermata;c__Holothuroidea	7705
233921	1.0	sk__Eukaryota;k__Metazoa;p__Mollusca	6447
123532	2.0	sk__Eukaryota;k__Metazoa;p__Mollusca;c__Bivalvia	6544
213291	6.0	sk__Eukaryota;k__Metazoa;p__Mollusca;c__Bivalvia;o__Arcoida	6552
214076	1.0	sk__Eukaryota;k__Metazoa;p__Mollusca;c__Bivalvia;o__Mytiloida	6546
68938	2.0	sk__Eukaryota;k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinoida	106218
95563	1.0	sk__Eukaryota;k__Metazoa;p__Mollusca;c__Bivalvia;o__Pectinoida;f__Pectinidae;g__Chlamys;s__Chlamys_islandica	27808
77954	4.0	sk__Eukaryota;k__Metazoa;p__Mollusca;c__Bivalvia;o__Veneroida	6580
30487	11.0	sk__Eukaryota;k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela	27901
51027	2.0	sk__Eukaryota;k__Viridiplantae	33090
90236	395.0	sk__Eukaryota;k__Viridiplantae;p__Chlorophyta	3041
